dataset,fpr,tpr,threshold,auc
AgentDojo,0.0,0.0,-inf,0.602354292276773
AgentDojo,0.0,0.0,-0.2775060534477234,0.602354292276773
AgentDojo,0.011627906976744186,0.010582010582010581,-0.2761108875274658,0.602354292276773
AgentDojo,0.011627906976744186,0.012345679012345678,-0.271496057510376,0.602354292276773
AgentDojo,0.011627906976744186,0.014109347442680775,-0.2702628970146179,0.602354292276773
AgentDojo,0.011627906976744186,0.015873015873015872,-0.26010507345199585,0.602354292276773
AgentDojo,0.023255813953488372,0.02292768959435626,-0.245777890086174,0.602354292276773
AgentDojo,0.023255813953488372,0.024691358024691357,-0.24092356860637665,0.602354292276773
AgentDojo,0.023255813953488372,0.026455026455026454,-0.22898142039775848,0.602354292276773
AgentDojo,0.023255813953488372,0.02821869488536155,-0.22188310325145721,0.602354292276773
AgentDojo,0.023255813953488372,0.029982363315696647,-0.2217153161764145,0.602354292276773
AgentDojo,0.023255813953488372,0.031746031746031744,-0.2206135243177414,0.602354292276773
AgentDojo,0.023255813953488372,0.03350970017636684,-0.21936152875423431,0.602354292276773
AgentDojo,0.023255813953488372,0.03527336860670194,-0.21304164826869965,0.602354292276773
AgentDojo,0.023255813953488372,0.037037037037037035,-0.2110016793012619,0.602354292276773
AgentDojo,0.023255813953488372,0.03880070546737213,-0.20792989432811737,0.602354292276773
AgentDojo,0.023255813953488372,0.04056437389770723,-0.20378635823726654,0.602354292276773
AgentDojo,0.03488372093023256,0.054673721340388004,-0.19947980344295502,0.602354292276773
AgentDojo,0.03488372093023256,0.0564373897707231,-0.19516520202159882,0.602354292276773
AgentDojo,0.03488372093023256,0.0582010582010582,-0.19243799149990082,0.602354292276773
AgentDojo,0.03488372093023256,0.059964726631393295,-0.18873156607151031,0.602354292276773
AgentDojo,0.03488372093023256,0.06172839506172839,-0.1884876936674118,0.602354292276773
AgentDojo,0.03488372093023256,0.06349206349206349,-0.1882811039686203,0.602354292276773
AgentDojo,0.03488372093023256,0.06525573192239859,-0.18797288835048676,0.602354292276773
AgentDojo,0.03488372093023256,0.06701940035273368,-0.18785177171230316,0.602354292276773
AgentDojo,0.03488372093023256,0.06878306878306878,-0.1845034807920456,0.602354292276773
AgentDojo,0.03488372093023256,0.07054673721340388,-0.1844250112771988,0.602354292276773
AgentDojo,0.03488372093023256,0.07231040564373897,-0.18310265243053436,0.602354292276773
AgentDojo,0.03488372093023256,0.07407407407407407,-0.1824287623167038,0.602354292276773
AgentDojo,0.03488372093023256,0.07583774250440917,-0.1813657432794571,0.602354292276773
AgentDojo,0.03488372093023256,0.07760141093474426,-0.17904804646968842,0.602354292276773
AgentDojo,0.03488372093023256,0.07936507936507936,-0.177586629986763,0.602354292276773
AgentDojo,0.03488372093023256,0.08112874779541446,-0.17730136215686798,0.602354292276773
AgentDojo,0.03488372093023256,0.08289241622574955,-0.1766631156206131,0.602354292276773
AgentDojo,0.03488372093023256,0.08465608465608465,-0.17204798758029938,0.602354292276773
AgentDojo,0.03488372093023256,0.08641975308641975,-0.1694847196340561,0.602354292276773
AgentDojo,0.046511627906976744,0.08641975308641975,-0.16923026740550995,0.602354292276773
AgentDojo,0.046511627906976744,0.08818342151675485,-0.16834695637226105,0.602354292276773
AgentDojo,0.046511627906976744,0.08994708994708994,-0.16719885170459747,0.602354292276773
AgentDojo,0.046511627906976744,0.09171075837742504,-0.16463203728199005,0.602354292276773
AgentDojo,0.05813953488372093,0.10405643738977072,-0.164143905043602,0.602354292276773
AgentDojo,0.05813953488372093,0.10582010582010581,-0.16343848407268524,0.602354292276773
AgentDojo,0.05813953488372093,0.10758377425044091,-0.16188545525074005,0.602354292276773
AgentDojo,0.06976744186046512,0.11992945326278659,-0.16140054166316986,0.602354292276773
AgentDojo,0.06976744186046512,0.12169312169312169,-0.1608896702528,0.602354292276773
AgentDojo,0.06976744186046512,0.12345679012345678,-0.15634332597255707,0.602354292276773
AgentDojo,0.06976744186046512,0.12522045855379188,-0.15581418573856354,0.602354292276773
AgentDojo,0.06976744186046512,0.12698412698412698,-0.15360166132450104,0.602354292276773
AgentDojo,0.06976744186046512,0.12874779541446207,-0.15299202501773834,0.602354292276773
AgentDojo,0.06976744186046512,0.13051146384479717,-0.15205658972263336,0.602354292276773
AgentDojo,0.08139534883720931,0.13932980599647266,-0.1511453539133072,0.602354292276773
AgentDojo,0.08139534883720931,0.14109347442680775,-0.14797039330005646,0.602354292276773
AgentDojo,0.08139534883720931,0.14285714285714285,-0.14626847207546234,0.602354292276773
AgentDojo,0.08139534883720931,0.14462081128747795,-0.1459076851606369,0.602354292276773
AgentDojo,0.08139534883720931,0.14638447971781304,-0.14371098577976227,0.602354292276773
AgentDojo,0.09302325581395349,0.14638447971781304,-0.14016039669513702,0.602354292276773
AgentDojo,0.09302325581395349,0.14814814814814814,-0.1399773806333542,0.602354292276773
AgentDojo,0.09302325581395349,0.14991181657848324,-0.13658057153224945,0.602354292276773
AgentDojo,0.09302325581395349,0.15167548500881833,-0.13472901284694672,0.602354292276773
AgentDojo,0.10465116279069768,0.15167548500881833,-0.13456599414348602,0.602354292276773
AgentDojo,0.10465116279069768,0.15343915343915343,-0.13311024010181427,0.602354292276773
AgentDojo,0.10465116279069768,0.15520282186948853,-0.1319488137960434,0.602354292276773
AgentDojo,0.10465116279069768,0.15696649029982362,-0.1317072957754135,0.602354292276773
AgentDojo,0.10465116279069768,0.15873015873015872,-0.13166259229183197,0.602354292276773
AgentDojo,0.11627906976744186,0.16049382716049382,-0.13022662699222565,0.602354292276773
AgentDojo,0.12790697674418605,0.16049382716049382,-0.1298593133687973,0.602354292276773
AgentDojo,0.12790697674418605,0.16225749559082892,-0.1296108216047287,0.602354292276773
AgentDojo,0.12790697674418605,0.164021164021164,-0.1288144439458847,0.602354292276773
AgentDojo,0.13953488372093023,0.1728395061728395,-0.12835274636745453,0.602354292276773
AgentDojo,0.13953488372093023,0.1746031746031746,-0.1275676041841507,0.602354292276773
AgentDojo,0.13953488372093023,0.1763668430335097,-0.12730668485164642,0.602354292276773
AgentDojo,0.1511627906976744,0.18518518518518517,-0.1255515068769455,0.602354292276773
AgentDojo,0.1511627906976744,0.18694885361552027,-0.12509213387966156,0.602354292276773
AgentDojo,0.1511627906976744,0.18871252204585537,-0.12447993457317352,0.602354292276773
AgentDojo,0.1511627906976744,0.19047619047619047,-0.12375126779079437,0.602354292276773
AgentDojo,0.1511627906976744,0.19223985890652556,-0.1234145313501358,0.602354292276773
AgentDojo,0.1511627906976744,0.19400352733686066,-0.12333051860332489,0.602354292276773
AgentDojo,0.1511627906976744,0.19576719576719576,-0.12224940955638885,0.602354292276773
AgentDojo,0.1511627906976744,0.19753086419753085,-0.120465949177742,0.602354292276773
AgentDojo,0.1511627906976744,0.19929453262786595,-0.12035523355007172,0.602354292276773
AgentDojo,0.1511627906976744,0.20105820105820105,-0.12034370005130768,0.602354292276773
AgentDojo,0.16279069767441862,0.20811287477954143,-0.11893419921398163,0.602354292276773
AgentDojo,0.16279069767441862,0.20987654320987653,-0.1177326887845993,0.602354292276773
AgentDojo,0.16279069767441862,0.21164021164021163,-0.11562566459178925,0.602354292276773
AgentDojo,0.1744186046511628,0.2239858906525573,-0.11551271378993988,0.602354292276773
AgentDojo,0.1744186046511628,0.2257495590828924,-0.11520664393901825,0.602354292276773
AgentDojo,0.1744186046511628,0.2275132275132275,-0.11512590944766998,0.602354292276773
AgentDojo,0.1744186046511628,0.2292768959435626,-0.1134738177061081,0.602354292276773
AgentDojo,0.1744186046511628,0.2310405643738977,-0.11281265318393707,0.602354292276773
