dataset,epoch,loss,mi_gap,world_loss
injecagent,1,1.3359970326636676,0.11931167229136917,0.13467418809731801
injecagent,2,1.2851610870612395,0.2537499469099566,0.1410741267601649
injecagent,3,1.249509712116554,0.36350088531151414,0.14520058929920196
injecagent,4,1.220753357732587,0.4684105238504708,0.1467878794670105
injecagent,5,1.2125737030391444,0.511635267753154,0.14751668443282445
injecagent,6,1.2026186975756192,0.5604898533783853,0.1481573224067688
injecagent,7,1.1840978135085312,0.6369384458474815,0.14854763706525168
injecagent,8,1.17553750163227,0.6900951911509037,0.14872400174538294
injecagent,9,1.1752783565977047,0.7111609821766615,0.1487623808781306
injecagent,10,1.1630559422692406,0.7628557930141687,0.14897370944420496
injecagent,11,1.1599355516716683,0.7962947593815625,0.1489215452472369
injecagent,12,1.1472867781722238,0.8464808393456041,0.14921623001495998
injecagent,13,1.1462682946340583,0.8694032507017255,0.14924722929795584
injecagent,14,1.145340017834412,0.891152564138174,0.14931766092777252
injecagent,15,1.1288962620052474,0.9779490038752556,0.14931610196828843
injecagent,16,1.1345434220398938,0.9787494768574834,0.14934255987405776
injecagent,17,1.1303001535674577,0.999183428324759,0.14936927149693172
injecagent,18,1.1278517942725925,1.0201311047747732,0.14945773392915726
injecagent,19,1.1335513802113883,0.992299892436713,0.14935908337434134
injecagent,20,1.1204668138858593,1.0588936736807226,0.14949165413777032
injecagent,21,1.1255265587364824,1.0532876732200385,0.1493782173593839
injecagent,22,1.1105924746294322,1.1209116648510098,0.1495700313647588
injecagent,23,1.1104011065165167,1.1485717276483773,0.14956603159507115
injecagent,24,1.119146423571405,1.1105423165857793,0.1495422990123431
injecagent,25,1.1157484665619735,1.138008939437568,0.14956293880939484
injecagent,26,1.1094966722200181,1.1624134039133787,0.14958052853743234
injecagent,27,1.1054747398326783,1.2033015174418689,0.14960595349470773
injecagent,28,1.1073922950531796,1.1841096679121257,0.1495542406042417
injecagent,29,1.1053207801369032,1.2025988350436092,0.1496152568856875
injecagent,30,1.102268145804497,1.2324252149090171,0.1496082603931427
