epoch,loss,mine_bound,mi_gap,world_loss
1,2.1777280255367883,1.1732766879232306,2.9042072013804785,3.801030811510588
2,0.9506114658556486,2.9196159337696277,6.022403064527009,2.7365211185656095
3,0.8155461487017179,3.7432696568338493,7.119854374935753,2.5948406018708883
4,0.7713618905920732,4.704769084328099,8.409163399746543,2.5832499202929045
5,0.7941069571595443,4.535919114163048,8.441090759478117,2.6122993544528357
6,0.7246958738879153,5.010406795300935,8.408166584215666,2.5267985619996725
7,0.6581183295500906,5.574180954381039,8.79487795578806,2.4433606423829732
8,0.6908014604919835,5.4575524832073015,8.785454398707339,2.4779384261683415
9,0.6632256852953058,5.6258143876728255,8.834873500623202,2.4630934313723913
10,0.6460948351182436,5.787204893011796,8.939695508856522,2.43442019663359
11,0.6682533402191965,5.632618452373304,8.911894848472194,2.4397110311608565
12,0.6631866160191988,5.66294180719476,8.821441299036929,2.419740840008384
