dataset,mode,ir,fpr,acc,latency_ms,n
injecagent_wami,a,0.7836812144212524,0.058823529411764705,0.8627450980392157,41.41637432081381,4233
injecagent_wami,b,0.7760910815939279,0.11764705882352941,0.8294353886132766,41.41637432081381,4233
injecagent_wami,or,0.8790322580645161,0.17647058823529413,0.851169383416017,41.41637432081381,4233
injecagent_wami,and,0.6807400379506642,0.0,0.8410111032364753,41.41637432081381,4233
bipia_wami,a,0.9941666666666666,0.0016666666666666668,0.99625,37.44779562499995,2400
bipia_wami,b,0.9941666666666666,0.0125,0.9908333333333333,37.44779562499995,2400
bipia_wami,or,0.9975,0.0125,0.9925,37.44779562499995,2400
bipia_wami,and,0.9908333333333333,0.0016666666666666668,0.9945833333333334,37.44779562499995,2400
agentdojo_wami,a,0.9841269841269841,0.23255813953488372,0.9555895865237366,67.00177197551403,653
agentdojo_wami,b,0.9876543209876543,0.11627906976744186,0.9739663093415007,67.00177197551403,653
agentdojo_wami,or,1.0,0.26744186046511625,0.9647779479326187,67.00177197551403,653
agentdojo_wami,and,0.9717813051146384,0.08139534883720931,0.9647779479326187,67.00177197551403,653
