group,query_id,official_win,official_tools,generated_tools,tool_match,planner_success_proxy,wami_allowed,wami_reason,wami_score,latency_ms,query,generated_plan
G1,10,True,transitairesfortransitaires;transitairefortransitaires,latestforsuivicolis;packagesv2trackfortrackingmorev2;listofcocktailsforthecocktaildb;newsforseoapi,0.0,False,True,trajectory remained aligned,2.5940465927124023,4726.647600065917,Complete the ToolBench tool-use task successfully.,"Action: latestforsuivicolis(input=""..."")
Action: packagesv2trackfortrackingmorev2(input=""..."")
Action: listofcocktailsforthecocktaildb(input=""..."")
Action: newsforseoapi(input=""..."")"
G1,11,True,transitairesfortransitaires;transitairefortransitaires;transitairesfortransitaires,latestforsuivicolis;packagesv2trackfortrackingmorev2;listofcocktailsforthecocktaildb;newsforseoapi,0.0,False,True,trajectory remained aligned,2.5940465927124023,943.75089998357,Complete the ToolBench tool-use task successfully.,"Action: latestforsuivicolis(input=""..."")
Action: packagesv2trackfortrackingmorev2(input=""..."")
Action: listofcocktailsforthecocktaildb(input=""..."")
Action: newsforseoapi(input=""..."")"
G1,57,True,productsforseoapi;newsforseoapi;searchforseoapi,listofcocktailsforthecocktaildb;detailedcocktailrecipebyidforthecocktaildb,0.0,False,True,trajectory remained aligned,1.574257493019104,718.7809000024572,Complete the ToolBench tool-use task successfully.,"Action: listofcocktailsforthecocktaildb(input={})
Action: detailedcocktailrecipebyidforthecocktaildb(input={""id"": 1})"
G1,59,True,imagesforseoapi;searchforseoapi;searchbforseoapi;searchbforseoapi,listofcocktailsforthecocktaildb;detailedcocktailrecipebyidforthecocktaildb,0.0,False,True,trajectory remained aligned,1.574257493019104,732.0820998866111,Complete the ToolBench tool-use task successfully.,"Action: listofcocktailsforthecocktaildb(input={})
Action: detailedcocktailrecipebyidforthecocktaildb(input={""id"": 1})"
G1,69,False,latestnewsforcurrentsnews;authenticateauthenticationsystem;authenticateauthenticationsystem;invalidhallucinationfunctionname;invalidhallucinationfunctionname;latestnewsforcurrentsnews,listofcocktailsforthecocktaildb;detailedcocktailrecipebyidforthecocktaildb,0.0,False,True,trajectory remained aligned,1.574257493019104,730.8116999920458,Complete the ToolBench tool-use task successfully.,"Action: listofcocktailsforthecocktaildb(input={})
Action: detailedcocktailrecipebyidforthecocktaildb(input={""id"": 1})"
G2,102,True,carriersdetectfortrackingmorev2;packagesv2trackfortrackingmorev2;transitairesfortransitaires,authenticateauthenticationsystem;latestnewsforcurrentsnews;listofcocktailsforthecocktaildb;retornadadosdoendereoatravsdocepforcepbrazil,0.0,False,True,trajectory remained aligned,1.0202434062957764,1129.314500023611,Complete the ToolBench tool-use task successfully.,"Action: authenticateauthenticationsystem(input=""{}"")
Action: latestnewsforcurrentsnews(input=""{}"")
Action: listofcocktailsforthecocktaildb(input=""{}"")
Action: retornadadosdoendereoatravsdocepforcepbrazil(input={})"
G2,10,False,trackpackageforamexaustraliafastwayaustraliatracking;latestforsuivicolis;retornadadosdoendereoatravsdocepforcepbrazil,authenticateauthenticationsystem,0.0,False,True,trajectory remained aligned,1.0345607995986938,341.74760000314564,Complete the ToolBench tool-use task successfully.,"Action: authenticateauthenticationsystem(input=""{}"")"
G2,119,False,apitrackingforpacksend;gettrackinfoforpridnestroviepost;apitrackingforpacksend;gettrackinfoforpridnestroviepost;apitrackingforpacksend,authenticateauthenticationsystem;latestnewsforcurrentsnews,0.0,False,True,trajectory remained aligned,0.7318580150604248,540.1817000238225,Complete the ToolBench tool-use task successfully.,"Action: authenticateauthenticationsystem(input=""{}"")
Action: latestnewsforcurrentsnews(input=""{}"")"
G2,127,False,apitrackingforpacksend;gettrackinfoforpridnestroviepost,authenticateauthenticationsystem;packagesv2trackfortrackingmorev2;latestnewsforcurrentsnews,0.0,False,True,trajectory remained aligned,0.3637120723724365,774.6306000044569,Complete the ToolBench tool-use task successfully.,"Action: authenticateauthenticationsystem(input=""{}"")
Action: packagesv2trackfortrackingmorev2(input=""{}"")
Action: latestnewsforcurrentsnews(input=""{}"")"
G2,52,True,gettrackinfoforpridnestroviepost;retornadadosdoendereoatravsdocepforcepbrazil;retornadadosdoendereoatravsdocepforcepbrazil;gettrackinfoforpridnestroviepost;gettrackinfoforpridnestroviepost,authenticateauthenticationsystem,0.0,False,True,trajectory remained aligned,1.0564987659454346,273.58190005179495,Complete the ToolBench tool-use task successfully.,Action: authenticateauthenticationsystem()
